"ID","Orden","Fase","Módulo","Nivel","Semana sugerida","Lección","Tema","Objetivo de aprendizaje","Conceptos clave","Ejercicio guiado","Tarea / Entregable","Proyecto asociado","Herramientas","Duración clase (h)","Práctica sugerida (h)","Prioridad","Estado"
"UNE2D11","11","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 2 — HTML5 y CSS3 Nivel I","Agosto 2026 · Día 11","11","Clase diaria 11: Etiquetas semánticas: header, nav, main, section y footer","Comprender y aplicar el fundamento del día antes de avanzar.","Etiquetas semánticas: header, nav, main, section y footer","Ejercicio guiado en Visual Studio Code.","Tarea independiente y preguntas de comprobación.","Landing page estática","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE2D12","12","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 2 — HTML5 y CSS3 Nivel I","Agosto 2026 · Día 12","12","Clase diaria 12: article, aside y organización del contenido","Comprender y aplicar el fundamento del día antes de avanzar.","article, aside y organización del contenido","Ejercicio guiado en Visual Studio Code.","Tarea independiente y preguntas de comprobación.","Landing page estática","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE2D13","13","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 2 — HTML5 y CSS3 Nivel I","Agosto 2026 · Día 13","13","Clase diaria 13: Práctica P2: listas, enlaces y multimedia","Comprender y aplicar el fundamento del día antes de avanzar.","Práctica P2: listas, enlaces y multimedia","Ejercicio guiado en Visual Studio Code.","Tarea independiente y preguntas de comprobación.","Landing page estática","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE2D14","14","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 2 — HTML5 y CSS3 Nivel I","Agosto 2026 · Día 14","14","Clase diaria 14: Contenedores div y span","Comprender y aplicar el fundamento del día antes de avanzar.","Contenedores div y span; comparar el margen predeterminado de <div> frente a <p>","Comparar visualmente dos <div> y dos <p>. Identificar que <div> no trae margen externo predeterminado y que <p> normalmente sí lo recibe de los estilos del navegador; comprobar que CSS puede modificar ambos.","Tarea independiente y preguntas de comprobación.","Landing page estática","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE2D15","15","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 2 — HTML5 y CSS3 Nivel I","Agosto 2026 · Día 15","15","Clase diaria 15: Tablas: table, tr, th y td","Comprender y aplicar el fundamento del día antes de avanzar.","Tablas: table, tr, th y td","Ejercicio guiado en Visual Studio Code.","Tarea independiente y preguntas de comprobación.","Landing page estática","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE2D16","16","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 2 — HTML5 y CSS3 Nivel I","Agosto 2026 · Día 16","16","Clase diaria 16: Tablas: thead, tbody, tfoot, colspan y rowspan","Comprender y aplicar el fundamento del día antes de avanzar.","Tablas: thead, tbody, tfoot, colspan y rowspan","Ejercicio guiado en Visual Studio Code.","Tarea independiente y preguntas de comprobación.","Landing page estática","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE2D17","17","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 2 — HTML5 y CSS3 Nivel I","Agosto 2026 · Día 17","17","Clase diaria 17: Bordes y presentación inicial de tablas","Comprender y aplicar el fundamento del día antes de avanzar.","Bordes y presentación inicial de tablas","Ejercicio guiado en Visual Studio Code.","Tarea independiente y preguntas de comprobación.","Landing page estática","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE2D18","18","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 2 — HTML5 y CSS3 Nivel I","Agosto 2026 · Día 18","18","Clase diaria 18: Formularios: form, action, method y label","Comprender y aplicar el fundamento del día antes de avanzar.","Formularios: form, action, method y label","Ejercicio guiado en Visual Studio Code.","Tarea independiente y preguntas de comprobación.","Landing page estática","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE2D19","19","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 2 — HTML5 y CSS3 Nivel I","Agosto 2026 · Día 19","19","Clase diaria 19: Campos input: text, email, password, number y date","Comprender y aplicar el fundamento del día antes de avanzar.","Campos input: text, email, password, number y date","Ejercicio guiado en Visual Studio Code.","Tarea independiente y preguntas de comprobación.","Landing page estática","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE2D20","20","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 2 — HTML5 y CSS3 Nivel I","Agosto 2026 · Día 20","20","Clase diaria 20: Controles: radio, checkbox, select y textarea","Comprender y aplicar el fundamento del día antes de avanzar.","Controles: radio, checkbox, select y textarea","Ejercicio guiado en Visual Studio Code.","Tarea independiente y preguntas de comprobación.","Landing page estática","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE2D21","21","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 2 — HTML5 y CSS3 Nivel I","Agosto 2026 · Día 21","21","Clase diaria 21: Validación HTML5: required, minlength, maxlength y pattern","Comprender y aplicar el fundamento del día antes de avanzar.","Validación HTML5: required, minlength, maxlength y pattern","Ejercicio guiado en Visual Studio Code.","Tarea independiente y preguntas de comprobación.","Landing page estática","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE2D22","22","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 2 — HTML5 y CSS3 Nivel I","Agosto 2026 · Día 22","22","Clase diaria 22: Práctica P3: formulario de contacto","Comprender y aplicar el fundamento del día antes de avanzar.","Práctica P3: formulario de contacto","Ejercicio guiado en Visual Studio Code.","Tarea independiente y preguntas de comprobación.","Landing page estática","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE2D23","23","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 2 — HTML5 y CSS3 Nivel I","Agosto 2026 · Día 23","23","Clase diaria 23: Introducción a CSS3 y formas de integración","Comprender y aplicar el fundamento del día antes de avanzar.","Introducción a CSS3 y formas de integración","Ejercicio guiado en Visual Studio Code.","Tarea independiente y preguntas de comprobación.","Landing page estática","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE2D24","24","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 2 — HTML5 y CSS3 Nivel I","Agosto 2026 · Día 24","24","Clase diaria 24: Selectores de elemento, clase e id","Comprender y aplicar el fundamento del día antes de avanzar.","Selectores de elemento, clase e id","Ejercicio guiado en Visual Studio Code.","Tarea independiente y preguntas de comprobación.","Landing page estática","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE2D25","25","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 2 — HTML5 y CSS3 Nivel I","Agosto 2026 · Día 25","25","Clase diaria 25: Color, tipografía, fondo y unidades básicas","Comprender y aplicar el fundamento del día antes de avanzar.","Color, tipografía, fondo y unidades básicas","Ejercicio guiado en Visual Studio Code.","Tarea independiente y preguntas de comprobación.","Landing page estática","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE2D26","26","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 2 — HTML5 y CSS3 Nivel I","Agosto 2026 · Día 26","26","Clase diaria 26: Box model: margin, border, padding y content","Comprender y aplicar el fundamento del día antes de avanzar.","Box model: margin, border, padding y content; explicar técnicamente la diferencia visual inicial entre <div> y <p>","Retomar <div> y <p> y analizar su separación mediante content, padding, border y margin. Modificar con CSS los márgenes de ambos y comprobar el resultado en el navegador.","Tarea independiente y preguntas de comprobación.","Landing page estática","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE2D27","27","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 2 — HTML5 y CSS3 Nivel I","Agosto 2026 · Día 27","27","Clase diaria 27: Display, ancho, alto y alineación inicial","Comprender y aplicar el fundamento del día antes de avanzar.","Display, ancho, alto y alineación inicial","Ejercicio guiado en Visual Studio Code.","Tarea independiente y preguntas de comprobación.","Landing page estática","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE2D28","28","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 2 — HTML5 y CSS3 Nivel I","Agosto 2026 · Día 28","28","Clase diaria 28: Práctica P4: hoja de estilos CSS3","Comprender y aplicar el fundamento del día antes de avanzar.","Práctica P4: hoja de estilos CSS3","Ejercicio guiado en Visual Studio Code.","Tarea independiente y preguntas de comprobación.","Landing page estática","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE2D29","29","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 2 — HTML5 y CSS3 Nivel I","Agosto 2026 · Día 29","29","Clase diaria 29: Planificación de la landing page final","Comprender y aplicar el fundamento del día antes de avanzar.","Planificación de la landing page final","Ejercicio guiado en Visual Studio Code.","Tarea independiente y preguntas de comprobación.","Landing page estática","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE2D30","30","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 2 — HTML5 y CSS3 Nivel I","Agosto 2026 · Día 30","30","Clase diaria 30: Construcción e integración de la landing page","Comprender y aplicar el fundamento del día antes de avanzar.","Construcción e integración de la landing page","Ejercicio guiado en Visual Studio Code.","Tarea independiente y preguntas de comprobación.","Landing page estática","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE2D31","31","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 2 — HTML5 y CSS3 Nivel I","Agosto 2026 · Día 31","31","Clase diaria 31: Revisión, corrección y entrega de la práctica P5","Comprender y aplicar el fundamento del día antes de avanzar.","Revisión, corrección y entrega de la práctica P5","Ejercicio guiado en Visual Studio Code.","Tarea independiente y preguntas de comprobación.","Landing page estática","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE3D01","32","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 3 — HTML5 y CSS3 Nivel II","Septiembre 2026 · Día 1","1","Clase diaria 1: Introducción al Nivel 3: objetivos, herramientas y proyecto del mes","Comprender y aplicar introducción al nivel 3: objetivos, herramientas y proyecto del mes dentro del objetivo del Nivel 3.","Introducción al Nivel 3: objetivos, herramientas y proyecto del mes","Realizar un ejemplo guiado de introducción al nivel 3: objetivos, herramientas y proyecto del mes.","Resolver una práctica corta y responder preguntas de comprobación.","Sitio web responsive","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE3D02","33","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 3 — HTML5 y CSS3 Nivel II","Septiembre 2026 · Día 2","2","Clase diaria 2: Fundamentos de web semántica y estructura avanzada de documentos","Comprender y aplicar fundamentos de web semántica y estructura avanzada de documentos dentro del objetivo del Nivel 3.","Fundamentos de web semántica y estructura avanzada de documentos","Realizar un ejemplo guiado de fundamentos de web semántica y estructura avanzada de documentos.","Resolver una práctica corta y responder preguntas de comprobación.","Sitio web responsive","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE3D03","34","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 3 — HTML5 y CSS3 Nivel II","Septiembre 2026 · Día 3","3","Clase diaria 3: Ejercicio guiado de web semántica y estructura avanzada de documentos","Comprender y aplicar ejercicio guiado de web semántica y estructura avanzada de documentos dentro del objetivo del Nivel 3.","Ejercicio guiado de web semántica y estructura avanzada de documentos","Realizar un ejemplo guiado de ejercicio guiado de web semántica y estructura avanzada de documentos.","Resolver una práctica corta y responder preguntas de comprobación.","Sitio web responsive","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE3D04","35","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 3 — HTML5 y CSS3 Nivel II","Septiembre 2026 · Día 4","4","Clase diaria 4: Fundamentos de multimedia accesible en HTML5","Comprender y aplicar fundamentos de multimedia accesible en html5 dentro del objetivo del Nivel 3.","Fundamentos de multimedia accesible en HTML5","Realizar un ejemplo guiado de fundamentos de multimedia accesible en html5.","Resolver una práctica corta y responder preguntas de comprobación.","Sitio web responsive","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE3D05","36","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 3 — HTML5 y CSS3 Nivel II","Septiembre 2026 · Día 5","5","Clase diaria 5: Ejercicio guiado de multimedia accesible en HTML5","Comprender y aplicar ejercicio guiado de multimedia accesible en html5 dentro del objetivo del Nivel 3.","Ejercicio guiado de multimedia accesible en HTML5","Realizar un ejemplo guiado de ejercicio guiado de multimedia accesible en html5.","Resolver una práctica corta y responder preguntas de comprobación.","Sitio web responsive","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE3D06","37","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 3 — HTML5 y CSS3 Nivel II","Septiembre 2026 · Día 6","6","Clase diaria 6: Práctica P1: maquetación con Flexbox de un layout de varias columnas","Completar la práctica p1: maquetación con flexbox de un layout de varias columnas y demostrar los conocimientos acumulados.","Práctica P1: maquetación con Flexbox de un layout de varias columnas","Desarrollar paso a paso la práctica p1: maquetación con flexbox de un layout de varias columnas.","Entregar la evidencia funcional de la práctica p1: maquetación con flexbox de un layout de varias columnas.","Sitio web responsive","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE3D07","38","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 3 — HTML5 y CSS3 Nivel II","Septiembre 2026 · Día 7","7","Clase diaria 7: Fundamentos de Box Model: contenido, padding, border y margin","Comprender y aplicar fundamentos de box model: contenido, padding, border y margin dentro del objetivo del Nivel 3.","Fundamentos de Box Model: contenido, padding, border y margin","Realizar un ejemplo guiado de fundamentos de box model: contenido, padding, border y margin.","Resolver una práctica corta y responder preguntas de comprobación.","Sitio web responsive","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE3D08","39","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 3 — HTML5 y CSS3 Nivel II","Septiembre 2026 · Día 8","8","Clase diaria 8: Ejercicio guiado de Box Model: contenido, padding, border y margin","Comprender y aplicar ejercicio guiado de box model: contenido, padding, border y margin dentro del objetivo del Nivel 3.","Ejercicio guiado de Box Model: contenido, padding, border y margin","Realizar un ejemplo guiado de ejercicio guiado de box model: contenido, padding, border y margin.","Resolver una práctica corta y responder preguntas de comprobación.","Sitio web responsive","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE3D09","40","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 3 — HTML5 y CSS3 Nivel II","Septiembre 2026 · Día 9","9","Clase diaria 9: Fundamentos de Flexbox: ejes, dirección, alineación y distribución","Comprender y aplicar fundamentos de flexbox: ejes, dirección, alineación y distribución dentro del objetivo del Nivel 3.","Fundamentos de Flexbox: ejes, dirección, alineación y distribución","Realizar un ejemplo guiado de fundamentos de flexbox: ejes, dirección, alineación y distribución.","Resolver una práctica corta y responder preguntas de comprobación.","Sitio web responsive","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE3D10","41","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 3 — HTML5 y CSS3 Nivel II","Septiembre 2026 · Día 10","10","Clase diaria 10: Ejercicio guiado de Flexbox: ejes, dirección, alineación y distribución","Comprender y aplicar ejercicio guiado de flexbox: ejes, dirección, alineación y distribución dentro del objetivo del Nivel 3.","Ejercicio guiado de Flexbox: ejes, dirección, alineación y distribución","Realizar un ejemplo guiado de ejercicio guiado de flexbox: ejes, dirección, alineación y distribución.","Resolver una práctica corta y responder preguntas de comprobación.","Sitio web responsive","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE3D11","42","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 3 — HTML5 y CSS3 Nivel II","Septiembre 2026 · Día 11","11","Clase diaria 11: Fundamentos de layouts de varias columnas con Flexbox","Comprender y aplicar fundamentos de layouts de varias columnas con flexbox dentro del objetivo del Nivel 3.","Fundamentos de layouts de varias columnas con Flexbox","Realizar un ejemplo guiado de fundamentos de layouts de varias columnas con flexbox.","Resolver una práctica corta y responder preguntas de comprobación.","Sitio web responsive","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE3D12","43","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 3 — HTML5 y CSS3 Nivel II","Septiembre 2026 · Día 12","12","Clase diaria 12: Ejercicio guiado de layouts de varias columnas con Flexbox","Comprender y aplicar ejercicio guiado de layouts de varias columnas con flexbox dentro del objetivo del Nivel 3.","Ejercicio guiado de layouts de varias columnas con Flexbox","Realizar un ejemplo guiado de ejercicio guiado de layouts de varias columnas con flexbox.","Resolver una práctica corta y responder preguntas de comprobación.","Sitio web responsive","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE3D13","44","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 3 — HTML5 y CSS3 Nivel II","Septiembre 2026 · Día 13","13","Clase diaria 13: Práctica P2: animación CSS3 con Keyframes","Completar la práctica p2: animación css3 con keyframes y demostrar los conocimientos acumulados.","Práctica P2: animación CSS3 con Keyframes","Desarrollar paso a paso la práctica p2: animación css3 con keyframes.","Entregar la evidencia funcional de la práctica p2: animación css3 con keyframes.","Sitio web responsive","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE3D14","45","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 3 — HTML5 y CSS3 Nivel II","Septiembre 2026 · Día 14","14","Clase diaria 14: Fundamentos de transiciones y transformaciones CSS3","Comprender y aplicar fundamentos de transiciones y transformaciones css3 dentro del objetivo del Nivel 3.","Fundamentos de transiciones y transformaciones CSS3","Realizar un ejemplo guiado de fundamentos de transiciones y transformaciones css3.","Resolver una práctica corta y responder preguntas de comprobación.","Sitio web responsive","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE3D15","46","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 3 — HTML5 y CSS3 Nivel II","Septiembre 2026 · Día 15","15","Clase diaria 15: Ejercicio guiado de transiciones y transformaciones CSS3","Comprender y aplicar ejercicio guiado de transiciones y transformaciones css3 dentro del objetivo del Nivel 3.","Ejercicio guiado de transiciones y transformaciones CSS3","Realizar un ejemplo guiado de ejercicio guiado de transiciones y transformaciones css3.","Resolver una práctica corta y responder preguntas de comprobación.","Sitio web responsive","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE3D16","47","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 3 — HTML5 y CSS3 Nivel II","Septiembre 2026 · Día 16","16","Clase diaria 16: Fundamentos de animaciones CSS3 con @keyframes","Comprender y aplicar fundamentos de animaciones css3 con @keyframes dentro del objetivo del Nivel 3.","Fundamentos de animaciones CSS3 con @keyframes","Realizar un ejemplo guiado de fundamentos de animaciones css3 con @keyframes.","Resolver una práctica corta y responder preguntas de comprobación.","Sitio web responsive","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE3D17","48","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 3 — HTML5 y CSS3 Nivel II","Septiembre 2026 · Día 17","17","Clase diaria 17: Ejercicio guiado de animaciones CSS3 con @keyframes","Comprender y aplicar ejercicio guiado de animaciones css3 con @keyframes dentro del objetivo del Nivel 3.","Ejercicio guiado de animaciones CSS3 con @keyframes","Realizar un ejemplo guiado de ejercicio guiado de animaciones css3 con @keyframes.","Resolver una práctica corta y responder preguntas de comprobación.","Sitio web responsive","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE3D18","49","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 3 — HTML5 y CSS3 Nivel II","Septiembre 2026 · Día 18","18","Clase diaria 18: Práctica P3: dibujo interactivo con Canvas HTML5","Completar la práctica p3: dibujo interactivo con canvas html5 y demostrar los conocimientos acumulados.","Práctica P3: dibujo interactivo con Canvas HTML5","Desarrollar paso a paso la práctica p3: dibujo interactivo con canvas html5.","Entregar la evidencia funcional de la práctica p3: dibujo interactivo con canvas html5.","Sitio web responsive","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
